age,workclass,marital-status,race,sex,native-country
46,Private,Married-civ-spouse,White,Female,United-States
59,Private,Married-civ-spouse,White,Male,United-States
44,Private,Divorced,White,Female,United-States
53,Private,Divorced,White,Female,United-States
49,Local-gov,Married-civ-spouse,White,Male,United-States
33,Private,Married-civ-spouse,White,Male,United-States
30,Private,Never-married,White,Male,United-States
43,Federal-gov,Never-married,White,Female,United-States
57,Private,Married-civ-spouse,White,Male,United-States
37,Private,Divorced,White,Female,United-States
28,Private,Divorced,Black,Female,United-States
30,Private,Married-civ-spouse,Asian-Pac-Islander,Female,*
34,Local-gov,Married-civ-spouse,White,Male,United-States
29,Local-gov,Never-married,White,Male,United-States
48,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
37,Private,Married-civ-spouse,White,Male,United-States
48,Private,Divorced,White,Female,England
32,Federal-gov,Never-married,Black,Male,United-States
76,Private,Married-civ-spouse,White,Male,United-States
44,Private,Married-civ-spouse,White,Male,United-States
47,Self-emp-not-inc,Never-married,White,Female,United-States
20,Private,Never-married,White,Female,United-States
29,Private,Never-married,White,Male,United-States
32,Self-emp-inc,Married-civ-spouse,White,Male,United-States
17,*,Never-married,White,Female,United-States
30,Private,Never-married,White,Male,United-States
31,Local-gov,Never-married,White,Female,United-States
42,Private,Married-civ-spouse,White,Male,United-States
24,Private,Never-married,White,Male,United-States
38,Private,Married-civ-spouse,White,Male,United-States
56,Self-emp-not-inc,Married-civ-spouse,White,Male,Canada
28,Private,Married-civ-spouse,White,Female,United-States
36,Private,Never-married,White,Female,United-States
53,Private,Married-civ-spouse,White,Male,United-States
56,Self-emp-inc,Married-civ-spouse,White,Male,United-States
49,Local-gov,Married-civ-spouse,Black,Male,United-States
55,Private,Married-civ-spouse,White,Male,United-States
22,Private,Never-married,White,Male,United-States
21,Private,Never-married,White,Female,United-States
40,Private,Married-civ-spouse,White,Male,United-States
30,Private,Never-married,Black,Male,Germany
29,State-gov,Married-civ-spouse,White,Male,United-States
19,Private,Never-married,Black,Male,United-States
47,Private,Married-civ-spouse,White,Female,United-States
20,Private,Never-married,White,Female,United-States
31,Private,Married-civ-spouse,White,Male,United-States
35,*,Married-civ-spouse,White,Male,United-States
39,Private,Divorced,White,Male,United-States
28,Private,Never-married,White,Female,United-States
24,Private,Never-married,White,Female,United-States
38,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
37,Private,Married-civ-spouse,White,Male,United-States
46,Private,Divorced,Black,Female,United-States
38,Federal-gov,Married-civ-spouse,White,Male,Iran
43,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
27,Private,Married-civ-spouse,White,Female,United-States
20,Private,Never-married,White,Male,United-States
49,Private,Married-civ-spouse,Asian-Pac-Islander,Male,United-States
61,Self-emp-inc,Married-civ-spouse,White,Male,United-States
27,Private,Never-married,White,Female,United-States
19,Private,Never-married,White,Male,Mexico
45,Private,Never-married,White,Female,United-States
70,Private,Never-married,White,Male,United-States
31,Private,Never-married,Black,Female,United-States
22,Private,Married-civ-spouse,White,Male,United-States
36,Private,Widowed,White,Female,United-States
64,Private,Married-civ-spouse,White,Male,United-States
43,*,Divorced,White,Female,United-States
47,Local-gov,Divorced,White,Female,Mexico
34,Private,Never-married,White,Female,United-States
33,Private,Never-married,Asian-Pac-Islander,Female,Philippines
21,Private,Never-married,White,Male,United-States
52,*,Divorced,White,Male,United-States
48,Private,Married-civ-spouse,White,Male,United-States
23,Private,Never-married,White,Male,United-States
71,Self-emp-not-inc,Separated,Black,Male,United-States
29,Private,Divorced,White,Male,United-States
42,Private,Separated,Black,Male,United-States
68,*,Divorced,White,Female,United-States
25,Private,Never-married,White,Female,United-States
44,Self-emp-inc,Divorced,Asian-Pac-Islander,Female,United-States
28,Private,Never-married,Asian-Pac-Islander,Female,England
45,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
36,Private,Divorced,White,Female,Mexico
39,Federal-gov,Never-married,White,Male,United-States
46,State-gov,Widowed,White,Male,United-States
18,Private,Never-married,White,Male,United-States
66,Local-gov,Widowed,White,Female,United-States
27,Private,Never-married,White,Male,United-States
28,State-gov,Married-civ-spouse,White,Male,United-States
51,Private,Married-civ-spouse,White,Male,United-States
27,Private,Never-married,White,Male,United-States
28,State-gov,Married-civ-spouse,White,Male,United-States
27,Private,Married-spouse-absent,White,Female,United-States
21,Private,Never-married,Black,Male,United-States
34,Private,Never-married,Black,Male,United-States
18,Private,Never-married,White,Male,United-States
33,Private,Married-civ-spouse,White,Male,United-States
44,Local-gov,Married-civ-spouse,Black,Male,United-States
43,Private,Divorced,White,Female,United-States
30,Private,Never-married,Black,Male,United-States
40,Private,Married-civ-spouse,White,Male,Mexico
37,Federal-gov,Married-civ-spouse,White,Male,United-States
34,Private,Married-civ-spouse,Black,Male,United-States
41,Self-emp-not-inc,Divorced,White,Female,United-States
53,*,Divorced,White,Female,United-States
31,Private,Married-civ-spouse,White,Female,United-States
58,State-gov,Married-civ-spouse,White,Male,United-States
38,Private,Divorced,Black,Female,United-States
24,Private,Married-civ-spouse,White,Male,United-States
41,Local-gov,Married-civ-spouse,Black,Male,United-States
47,Private,Married-civ-spouse,White,Male,United-States
41,Federal-gov,Married-civ-spouse,White,Male,United-States
23,Private,Married-civ-spouse,White,Male,Mexico
36,Private,Divorced,White,Male,United-States
40,Federal-gov,Never-married,White,Female,United-States
35,Private,Married-civ-spouse,White,Male,United-States
24,Self-emp-not-inc,Never-married,White,Male,United-States
26,Private,Never-married,White,Female,United-States
19,*,Never-married,White,Male,Italy
51,Private,Married-civ-spouse,White,Male,United-States
42,Local-gov,Never-married,White,Female,United-States
37,State-gov,Divorced,White,Female,United-States
18,Private,Never-married,White,Female,United-States
36,Private,Married-civ-spouse,Black,Male,United-States
35,Private,Divorced,White,Male,United-States
58,Self-emp-inc,Married-civ-spouse,White,Female,United-States
17,Private,Never-married,White,Female,United-States
44,Local-gov,Married-civ-spouse,Black,Male,United-States
37,Private,Married-civ-spouse,White,Male,United-States
35,Private,Never-married,Amer-Indian-Eskimo,Female,United-States
60,Private,Married-civ-spouse,Asian-Pac-Islander,Male,United-States
54,Self-emp-inc,Married-civ-spouse,White,Male,United-States
37,Private,Never-married,Black,Male,United-States
50,Private,Divorced,White,Female,United-States
38,Private,Married-civ-spouse,White,Male,Poland
45,Private,Married-civ-spouse,White,Male,United-States
25,Private,Never-married,White,Male,United-States
31,Private,Married-civ-spouse,White,Male,United-States
64,*,Divorced,White,Male,United-States
90,Private,Never-married,Black,Male,United-States
54,Private,Married-civ-spouse,Black,Male,United-States
53,Local-gov,Never-married,White,Female,United-States
18,Private,Never-married,White,Female,United-States
60,*,Divorced,Amer-Indian-Eskimo,Female,United-States
66,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
75,Private,Widowed,White,Female,Columbia
65,Private,Divorced,White,Female,United-States
35,Private,Separated,Black,Male,United-States
41,Private,Divorced,Black,Female,United-States
25,Private,Never-married,White,Male,United-States
33,Private,Divorced,Other,Female,United-States
28,Private,Never-married,White,Male,United-States
59,State-gov,Married-civ-spouse,White,Male,United-States
40,State-gov,Never-married,White,Female,United-States
41,Private,Married-civ-spouse,White,Male,Iran
38,Local-gov,Married-civ-spouse,White,Male,United-States
23,Private,Never-married,White,Male,United-States
40,Private,Married-civ-spouse,White,Male,United-States
41,Self-emp-not-inc,Married-civ-spouse,White,Female,United-States
24,State-gov,Married-civ-spouse,White,Male,United-States
20,*,Never-married,White,Male,United-States
38,Private,Divorced,White,Male,United-States
56,Private,Married-civ-spouse,White,Male,*
58,Private,Married-civ-spouse,White,Male,United-States
32,Private,Never-married,White,Female,United-States
40,Private,Married-civ-spouse,White,Male,United-States
45,Private,Married-civ-spouse,White,Male,*
41,Private,Married-civ-spouse,White,Female,United-States
42,Private,Married-civ-spouse,Black,Female,United-States
59,Local-gov,Widowed,Black,Female,United-States
19,Local-gov,Never-married,White,Male,United-States
58,Private,Never-married,White,Male,United-States
42,Self-emp-not-inc,Married-civ-spouse,Asian-Pac-Islander,Male,Cambodia
20,Private,Never-married,White,Female,United-States
32,Private,Separated,White,Female,United-States
45,Private,Widowed,White,Female,United-States
50,Private,Divorced,White,Male,United-States
36,Private,Divorced,White,Female,United-States
45,Private,Married-civ-spouse,White,Male,United-States
17,Private,Never-married,White,Male,United-States
59,Private,Married-civ-spouse,White,Male,United-States
26,Private,Married-civ-spouse,White,Male,United-States
37,Self-emp-inc,Married-civ-spouse,Asian-Pac-Islander,Male,Thailand
19,*,Never-married,White,Male,Canada
64,Private,Married-civ-spouse,White,Male,United-States
33,Private,Never-married,White,Female,United-States
33,Private,Married-civ-spouse,White,Female,United-States
61,Private,Married-civ-spouse,White,Male,United-States
17,Private,Never-married,White,Male,United-States
50,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
27,Local-gov,Never-married,White,Male,United-States
30,Private,Divorced,White,Female,United-States
43,Private,Married-civ-spouse,Black,Male,United-States
44,Private,Married-civ-spouse,White,Male,United-States
35,Private,Never-married,White,Female,United-States
25,Private,Never-married,White,Female,United-States
24,Private,Married-civ-spouse,White,Female,United-States
22,Private,Never-married,White,Female,Germany
42,Local-gov,Married-civ-spouse,White,Male,United-States
34,Private,Divorced,Black,Female,United-States
60,Private,Divorced,White,Female,United-States
21,Private,Never-married,White,Male,United-States
57,Federal-gov,Married-civ-spouse,White,Male,United-States
41,Private,Married-civ-spouse,White,Male,United-States
50,Private,Divorced,White,Male,United-States
25,Private,Never-married,White,Female,United-States
50,Private,Married-civ-spouse,White,Male,Ecuador
36,Private,Married-civ-spouse,White,Male,United-States
31,Private,Divorced,White,Female,United-States
29,Local-gov,Never-married,White,Male,United-States
21,Private,Never-married,White,Male,United-States
27,Private,Never-married,Black,Female,United-States
65,Private,Married-civ-spouse,White,Male,United-States
37,Self-emp-inc,Divorced,White,Female,United-States
39,*,Married-civ-spouse,Asian-Pac-Islander,Female,*
24,Private,Never-married,White,Male,United-States
38,Private,Divorced,White,Male,United-States
48,Private,Married-civ-spouse,White,Male,United-States
21,Private,Never-married,Asian-Pac-Islander,Female,United-States
31,Private,Married-civ-spouse,White,Male,United-States
55,Private,Married-civ-spouse,White,Male,United-States
24,Private,Married-civ-spouse,Asian-Pac-Islander,Female,Laos
43,Private,Divorced,White,Female,United-States
26,Private,Never-married,White,Male,United-States
46,Private,Never-married,White,Female,United-States
35,Private,Married-civ-spouse,White,Male,United-States
41,Self-emp-inc,Married-civ-spouse,White,Male,United-States
26,Private,Never-married,White,Male,United-States
34,Private,Married-civ-spouse,Asian-Pac-Islander,Male,Taiwan
19,*,Never-married,Black,Female,United-States
36,Self-emp-not-inc,Divorced,Black,Female,United-States
22,Private,Never-married,White,Male,United-States
24,Private,Never-married,White,Male,United-States
77,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
22,Private,Married-civ-spouse,White,Female,Mexico
29,Private,Never-married,White,Female,United-States
62,Private,Widowed,White,Female,United-States
39,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
43,Private,Married-civ-spouse,White,Male,United-States
35,Private,Divorced,White,Male,United-States
29,Private,Never-married,White,Female,United-States
76,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
63,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
23,*,Never-married,Black,Female,United-States
43,Private,Married-civ-spouse,White,Female,United-States
58,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
66,Private,Never-married,White,Male,United-States
41,Private,Never-married,Black,Male,United-States
26,Private,Never-married,White,Male,United-States
47,Private,Never-married,White,Male,United-States
55,Local-gov,Married-civ-spouse,White,Male,United-States
53,Private,Married-civ-spouse,White,Male,United-States
17,Private,Never-married,White,Male,Mexico
30,Private,Never-married,White,Male,United-States
49,Private,Never-married,White,Male,United-States
19,Private,Never-married,Black,Male,Haiti
45,Private,Married-civ-spouse,Black,Male,United-States
26,Private,Never-married,White,Male,United-States
38,Private,Married-civ-spouse,White,Male,United-States
36,State-gov,Married-civ-spouse,White,Male,United-States
33,Private,Never-married,White,Male,United-States
22,State-gov,Never-married,Black,Female,United-States
43,Self-emp-not-inc,Never-married,White,Male,United-States
67,*,Married-civ-spouse,White,Male,United-States
30,*,Divorced,White,Female,United-States
56,Private,Married-spouse-absent,White,Male,Iran
31,Private,Never-married,White,Male,United-States
33,Private,Married-civ-spouse,White,Male,United-States
26,Private,Married-civ-spouse,White,Male,United-States
33,Private,Married-civ-spouse,White,Male,United-States
46,Local-gov,Married-civ-spouse,White,Male,United-States
59,*,Married-civ-spouse,White,Male,United-States
38,Federal-gov,Married-civ-spouse,White,Male,United-States
65,Private,Widowed,Other,Male,United-States
40,Private,Married-civ-spouse,White,Male,United-States
42,Private,Married-civ-spouse,White,Female,United-States
26,Self-emp-not-inc,Married-civ-spouse,White,Male,Portugal
36,Private,Married-civ-spouse,White,Female,United-States
62,Private,Married-civ-spouse,White,Male,United-States
43,Private,Married-civ-spouse,White,Male,United-States
43,Private,Divorced,White,Male,United-States
22,Private,Married-spouse-absent,White,Male,United-States
28,Private,Married-civ-spouse,White,Male,United-States
56,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
22,Private,Never-married,White,Female,United-States
57,Private,Divorced,White,Female,United-States
39,Private,Divorced,White,Female,United-States
26,Federal-gov,Never-married,White,Female,United-States
17,Private,Never-married,White,Male,United-States
40,State-gov,Married-civ-spouse,White,Male,United-States
45,Private,Married-civ-spouse,Black,Male,United-States
44,Private,Never-married,Black,Male,United-States
20,Local-gov,Never-married,White,Female,United-States
33,Private,Married-civ-spouse,White,Female,United-States
23,Private,Never-married,White,Male,United-States
46,Self-emp-not-inc,Divorced,White,Male,United-States
38,Private,Married-civ-spouse,White,Male,United-States
54,Private,Divorced,White,Male,United-States
46,Private,Divorced,White,Female,United-States
25,Private,Married-civ-spouse,White,Male,United-States
46,Private,Divorced,White,Female,United-States
36,Local-gov,Married-civ-spouse,White,Female,United-States
23,Private,Never-married,White,Female,United-States
29,Private,Separated,White,Male,United-States
44,Private,Married-civ-spouse,White,Female,United-States
19,Private,Never-married,White,Female,United-States
19,Private,Never-married,White,Female,United-States
35,Private,Married-civ-spouse,White,Female,United-States
27,Private,Never-married,White,Male,United-States
46,Self-emp-not-inc,Separated,White,Male,United-States
34,State-gov,Married-civ-spouse,White,Male,*
34,Private,Never-married,White,Female,United-States
44,Private,Married-civ-spouse,White,Male,United-States
45,Private,Divorced,White,Female,United-States
20,*,Never-married,White,Female,United-States
25,Private,Married-civ-spouse,White,Male,United-States
52,Self-emp-inc,Married-civ-spouse,White,Male,United-States
20,Private,Never-married,White,Male,United-States
28,Private,Never-married,White,Female,United-States
50,State-gov,Married-civ-spouse,White,Male,United-States
34,Private,Divorced,White,Female,United-States
28,Private,Married-civ-spouse,Other,Male,Puerto-Rico
41,Private,Married-civ-spouse,White,Male,United-States
28,Private,Married-civ-spouse,White,Male,United-States
46,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
28,*,Married-civ-spouse,White,Female,United-States
32,Private,Married-civ-spouse,White,Male,United-States
41,Local-gov,Divorced,Black,Female,United-States
24,Private,Never-married,Black,Female,United-States
33,Private,Divorced,White,Female,United-States
46,Private,Married-civ-spouse,White,Male,United-States
31,State-gov,Married-civ-spouse,White,Male,United-States
35,Private,Divorced,White,Male,United-States
52,Private,Married-civ-spouse,White,Male,Mexico
30,Private,Never-married,White,Female,United-States
34,Local-gov,Separated,Black,Male,United-States
34,State-gov,Divorced,White,Female,United-States
20,Private,Married-civ-spouse,White,Male,United-States
17,Private,Never-married,White,Male,United-States
32,State-gov,Married-civ-spouse,White,Female,United-States
29,Private,Divorced,White,Male,United-States
33,Private,Never-married,White,Female,United-States
25,Private,Married-civ-spouse,White,Male,United-States
36,Federal-gov,Never-married,White,Male,United-States
23,Private,Never-married,White,Male,Dominican-Republic
63,Self-emp-inc,Married-civ-spouse,White,Male,United-States
47,Local-gov,Married-civ-spouse,White,Male,United-States
80,*,Widowed,White,Male,United-States
17,*,Never-married,White,Male,United-States
40,Self-emp-not-inc,Married-spouse-absent,White,Female,United-States
30,Private,Married-civ-spouse,White,Female,United-States
27,Private,Never-married,Asian-Pac-Islander,Male,Philippines
33,Private,Married-civ-spouse,White,Male,United-States
34,Local-gov,Never-married,Black,Male,United-States
34,Local-gov,Never-married,White,Female,United-States
23,Private,Married-civ-spouse,White,Male,United-States
42,Local-gov,Married-civ-spouse,White,Female,United-States
29,Private,Never-married,White,Male,United-States
45,Private,Divorced,White,Female,United-States
24,Federal-gov,Never-married,White,Male,United-States
44,Private,Married-civ-spouse,White,Male,United-States
27,Private,Never-married,White,Male,Mexico
20,Private,Never-married,White,Male,United-States
44,Private,Widowed,Black,Female,United-States
51,Private,Married-civ-spouse,Amer-Indian-Eskimo,Male,United-States
20,Private,Married-civ-spouse,White,Male,United-States
17,*,Never-married,White,Female,United-States
19,Private,Never-married,Black,Female,United-States
45,Self-emp-inc,Married-civ-spouse,White,Male,United-States
60,Private,Married-civ-spouse,White,Male,United-States
42,Private,Married-civ-spouse,Black,Male,*
44,Self-emp-not-inc,Married-civ-spouse,White,Female,United-States
40,Private,Married-civ-spouse,Asian-Pac-Islander,Male,United-States
30,Private,Married-civ-spouse,White,Female,United-States
38,Private,Married-civ-spouse,Black,Male,United-States
23,Private,Married-civ-spouse,White,Male,United-States
32,*,Married-civ-spouse,White,Male,United-States
44,Private,Never-married,White,Male,United-States
54,Local-gov,Married-civ-spouse,Black,Male,United-States
32,Private,Married-civ-spouse,White,Male,United-States
50,Private,Married-spouse-absent,White,Male,United-States
24,Private,Never-married,White,Female,United-States
37,Private,Married-civ-spouse,White,Female,United-States
52,Private,Divorced,White,Male,United-States
38,Private,Married-civ-spouse,White,Male,United-States
49,Private,Married-civ-spouse,White,Male,United-States
30,Private,Married-civ-spouse,White,Female,United-States
60,Private,Never-married,White,Male,United-States
22,*,Never-married,White,Male,United-States
35,Private,Never-married,White,Male,United-States
30,Private,Never-married,White,Male,United-States
67,Private,Divorced,White,Female,United-States
46,Private,Never-married,White,Female,United-States
17,Private,Never-married,White,Male,United-States
22,Private,Never-married,White,Male,United-States
27,Private,Never-married,White,Male,United-States
23,Private,Never-married,White,Female,United-States
33,Private,Married-civ-spouse,White,Male,Portugal
43,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
28,State-gov,Never-married,White,Male,United-States
41,Private,Married-spouse-absent,White,Female,United-States
52,*,Never-married,Black,Male,United-States
25,Private,Married-spouse-absent,Black,Female,United-States
63,*,Married-civ-spouse,White,Male,United-States
59,Local-gov,Married-civ-spouse,White,Male,United-States
45,Local-gov,Divorced,White,Female,United-States
38,Private,Married-civ-spouse,White,Male,United-States
40,Private,Never-married,White,Female,United-States
46,Federal-gov,Divorced,White,Male,United-States
35,Private,Never-married,White,Female,United-States
34,Private,Divorced,White,Female,United-States
33,Private,Never-married,White,Male,United-States
41,Private,Divorced,White,Female,United-States
20,Private,Never-married,White,Male,United-States
23,Private,Never-married,White,Male,El-Salvador
26,Private,Never-married,White,Female,United-States
72,*,Married-civ-spouse,White,Male,United-States
23,Local-gov,Never-married,White,Male,Poland
62,Local-gov,Married-civ-spouse,White,Male,United-States
52,Private,Married-civ-spouse,White,Male,United-States
58,Private,Divorced,White,Female,France
25,Private,Never-married,White,Female,United-States
24,Private,Never-married,Black,Male,United-States
19,Private,Never-married,White,Male,United-States
43,Private,Married-civ-spouse,White,Male,United-States
47,Local-gov,Separated,Black,Female,United-States
39,Private,Divorced,White,Female,United-States
49,Private,Married-spouse-absent,White,Male,United-States
53,*,Widowed,Black,Female,United-States
32,Private,Never-married,White,Male,United-States
34,Private,Married-civ-spouse,White,Male,United-States
28,Private,Divorced,White,Male,United-States
57,*,Widowed,White,Female,United-States
25,Private,Never-married,Amer-Indian-Eskimo,Female,United-States
20,*,Never-married,White,Male,United-States
21,*,Never-married,White,Female,United-States
34,Private,Married-civ-spouse,White,Male,United-States
38,Self-emp-inc,Married-civ-spouse,White,Male,United-States
50,Private,Married-civ-spouse,White,Male,United-States
24,Local-gov,Divorced,Black,Male,United-States
37,Local-gov,Married-civ-spouse,White,Male,United-States
44,Private,Divorced,White,Male,United-States
28,Private,Married-civ-spouse,White,Female,United-States
42,Private,Married-civ-spouse,White,Male,United-States
74,Private,Divorced,White,Female,United-States
38,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
44,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
44,Private,Divorced,Other,Female,Puerto-Rico
26,Private,Never-married,White,Male,United-States
36,Private,Married-civ-spouse,Black,Male,United-States
41,Private,Married-civ-spouse,White,Female,United-States
67,Private,Married-civ-spouse,White,Male,United-States
39,Local-gov,Married-civ-spouse,White,Male,United-States
57,Private,Widowed,Black,Female,United-States
29,Private,Separated,White,Male,United-States
31,Self-emp-inc,Never-married,White,Female,United-States
34,*,Never-married,Black,Female,United-States
44,Private,Married-civ-spouse,White,Male,United-States
29,Private,Never-married,White,Male,United-States
30,Private,Never-married,White,Female,United-States
27,Private,Never-married,White,Male,United-States
27,Private,Married-civ-spouse,White,Male,United-States
32,Private,Never-married,White,Female,United-States
58,Private,Married-civ-spouse,White,Female,United-States
35,Local-gov,Married-civ-spouse,White,Male,United-States
21,Private,Never-married,White,Male,United-States
28,Private,Never-married,White,Male,United-States
46,Self-emp-not-inc,Divorced,White,Male,United-States
36,Self-emp-not-inc,Separated,White,Female,United-States
72,Private,Widowed,White,Female,United-States
35,Private,Married-civ-spouse,Black,Female,United-States
33,Federal-gov,Divorced,Black,Female,United-States
69,Private,Never-married,White,Female,United-States
35,Private,Married-civ-spouse,White,Male,United-States
31,Private,Separated,White,Female,*
34,Private,Married-civ-spouse,White,Female,United-States
30,Private,Married-civ-spouse,White,Male,Mexico
28,Private,Never-married,White,Male,United-States
54,Private,Married-civ-spouse,White,Male,United-States
47,Private,Married-civ-spouse,White,Male,United-States
24,Private,Never-married,Black,Female,United-States
52,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
20,Private,Never-married,Amer-Indian-Eskimo,Male,United-States
43,Self-emp-inc,Married-civ-spouse,White,Male,United-States
45,Private,Separated,White,Female,Mexico
29,Self-emp-not-inc,Separated,White,Male,United-States
47,Private,Divorced,White,Male,United-States
24,Private,Never-married,White,Male,United-States
51,Private,Married-civ-spouse,White,Male,United-States
17,Private,Never-married,White,Male,United-States
37,Private,Married-civ-spouse,White,Male,United-States
27,Private,Never-married,White,Female,United-States
29,Private,Married-civ-spouse,White,Male,United-States
18,*,Never-married,White,Male,United-States
36,Self-emp-not-inc,Divorced,White,Female,United-States
58,Local-gov,Never-married,White,Female,United-States
26,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
65,*,Married-civ-spouse,White,Male,United-States
57,Private,Married-civ-spouse,White,Male,United-States
59,Private,Married-civ-spouse,White,Male,United-States
27,Private,Married-civ-spouse,White,Male,United-States
31,Self-emp-not-inc,Never-married,White,Male,United-States
21,Private,Never-married,White,Female,United-States
29,Private,Never-married,White,Male,United-States
18,Private,Never-married,White,Male,United-States
52,Private,Married-civ-spouse,White,Male,United-States
57,Self-emp-inc,Divorced,White,Male,United-States
42,*,Married-civ-spouse,White,Male,United-States
55,*,Married-civ-spouse,Asian-Pac-Islander,Female,United-States
60,Private,Never-married,White,Male,United-States
31,Private,Married-civ-spouse,White,Male,Canada
23,Private,Never-married,White,Female,United-States
27,Private,Never-married,White,Male,United-States
23,*,Never-married,Amer-Indian-Eskimo,Female,United-States
42,Self-emp-not-inc,Married-civ-spouse,White,Male,United-States
25,Private,Never-married,White,Male,United-States
49,Private,Never-married,White,Female,United-States
32,Private,Never-married,White,Male,United-States
19,Private,Never-married,White,Male,United-States
60,Private,Divorced,White,Female,United-States
42,Local-gov,Married-civ-spouse,White,Male,United-States
35,Self-emp-not-inc,Never-married,White,Male,United-States
